args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Args { n: 128, k: 32, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 520192, runtime_setup_seconds: 0.125784213, runtime_file_generation_seconds: 0.001894916, runtime_all_column_commitments_seconds: 1.784092827, runtime_per_column_commitment_seconds: 0.05575290084375, runtime_all_row_encodings_seconds: 0.081368976, runtime_per_row_encoding_seconds: 0.00015892378125, runtime_all_chunk_verifications_seconds: 9.291728527, runtime_per_chunk_verification_seconds: 0.0725916291171875, runtime_all_downloaded_chunk_verifications_seconds: 2.320940228, runtime_per_downloaded_chunk_verification_seconds: 0.072529382125, runtime_all_row_decodings_seconds: 0.042687395, runtime_per_row_decoding_seconds: 8.3373818359375e-5, runtime_prepare_decoding_seconds: 0.020909027, num_column_commitments: 32, num_row_encodings: 512, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 32, num_row_decodings: 512, size_file_uncoded_bytes: 524288, size_column_commitments_bytes: 3328, size_file_coded_bytes: 2097152, scenario_disperse_runtime_client_seconds: 1.865461803, scenario_disperse_runtime_node_seconds: 0.0725916291171875, scenario_disperse_communication_bytes: 2523136, scenario_disperse_storage_bytes: 2523136, scenario_retrieve_runtime_client_seconds: 2.3845366500000003, scenario_sampling_num_openings: 32, scenario_sampling_runtime_prover_seconds: 0.05790510834375, scenario_sampling_runtime_verifier_seconds: 0.008873307375, scenario_sampling_runtime_proof_size_bytes: 3480 }
128 32 512 1 bls12-381  520192  0.125784 0.001895  1.784093 0.055753 0.081369 0.000159 9.291729 0.072592  2.320940 0.072529 0.042687 0.000083 0.020909  32 512 128 32 512  524288 3328 2097152  1.865462 0.072592 2523136 2523136  2.384537  32 0.057905 0.008873 3480
# Args { n: 256, k: 64, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 1040384, runtime_setup_seconds: 0.128628731, runtime_file_generation_seconds: 0.004061187, runtime_all_column_commitments_seconds: 3.997922747, runtime_per_column_commitment_seconds: 0.062467542921875, runtime_all_row_encodings_seconds: 0.137696296, runtime_per_row_encoding_seconds: 0.000268938078125, runtime_all_chunk_verifications_seconds: 22.444275132, runtime_per_chunk_verification_seconds: 0.087672949734375, runtime_all_downloaded_chunk_verifications_seconds: 5.525721248, runtime_per_downloaded_chunk_verification_seconds: 0.0863393945, runtime_all_row_decodings_seconds: 0.169794503, runtime_per_row_decoding_seconds: 0.000331629888671875, runtime_prepare_decoding_seconds: 0.101420369, num_column_commitments: 64, num_row_encodings: 512, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 64, num_row_decodings: 512, size_file_uncoded_bytes: 1048576, size_column_commitments_bytes: 6656, size_file_coded_bytes: 4194304, scenario_disperse_runtime_client_seconds: 4.135619043, scenario_disperse_runtime_node_seconds: 0.087672949734375, scenario_disperse_communication_bytes: 5898240, scenario_disperse_storage_bytes: 5898240, scenario_retrieve_runtime_client_seconds: 5.796936120000001, scenario_sampling_num_openings: 64, scenario_sampling_runtime_prover_seconds: 0.06077204875, scenario_sampling_runtime_verifier_seconds: 0.010747513953125001, scenario_sampling_runtime_proof_size_bytes: 6808 }
256 64 512 1 bls12-381  1040384  0.128629 0.004061  3.997923 0.062468 0.137696 0.000269 22.444275 0.087673  5.525721 0.086339 0.169795 0.000332 0.101420  64 512 256 64 512  1048576 6656 4194304  4.135619 0.087673 5898240 5898240  5.796936  64 0.060772 0.010748 6808
# Args { n: 512, k: 128, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 2080768, runtime_setup_seconds: 0.127461038, runtime_file_generation_seconds: 0.00576341, runtime_all_column_commitments_seconds: 7.148627379, runtime_per_column_commitment_seconds: 0.0558486513984375, runtime_all_row_encodings_seconds: 0.27638159, runtime_per_row_encoding_seconds: 0.00053980779296875, runtime_all_chunk_verifications_seconds: 59.187065632, runtime_per_chunk_verification_seconds: 0.1155997375625, runtime_all_downloaded_chunk_verifications_seconds: 14.810148752, runtime_per_downloaded_chunk_verification_seconds: 0.115704287125, runtime_all_row_decodings_seconds: 0.716148519, runtime_per_row_decoding_seconds: 0.001398727576171875, runtime_prepare_decoding_seconds: 0.55166155, num_column_commitments: 128, num_row_encodings: 512, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 128, num_row_decodings: 512, size_file_uncoded_bytes: 2097152, size_column_commitments_bytes: 13312, size_file_coded_bytes: 8388608, scenario_disperse_runtime_client_seconds: 7.425008968999999, scenario_disperse_runtime_node_seconds: 0.1155997375625, scenario_disperse_communication_bytes: 15204352, scenario_disperse_storage_bytes: 15204352, scenario_retrieve_runtime_client_seconds: 16.077958821, scenario_sampling_num_openings: 128, scenario_sampling_runtime_prover_seconds: 0.05791285977343755, scenario_sampling_runtime_verifier_seconds: 0.008961612773437497, scenario_sampling_runtime_proof_size_bytes: 13464 }
512 128 512 1 bls12-381  2080768  0.127461 0.005763  7.148627 0.055849 0.276382 0.000540 59.187066 0.115600  14.810149 0.115704 0.716149 0.001399 0.551662  128 512 512 128 512  2097152 13312 8388608  7.425009 0.115600 15204352 15204352  16.077959  128 0.057913 0.008962 13464
# Args { n: 1024, k: 256, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 4161536, runtime_setup_seconds: 0.125851158, runtime_file_generation_seconds: 0.011508192, runtime_all_column_commitments_seconds: 16.191120403, runtime_per_column_commitment_seconds: 0.06324656407421875, runtime_all_row_encodings_seconds: 0.508655369, runtime_per_row_encoding_seconds: 0.000993467517578125, runtime_all_chunk_verifications_seconds: 187.187209184, runtime_per_chunk_verification_seconds: 0.18280000896875, runtime_all_downloaded_chunk_verifications_seconds: 46.693053938, runtime_per_downloaded_chunk_verification_seconds: 0.1823947419453125, runtime_all_row_decodings_seconds: 2.950961766, runtime_per_row_decoding_seconds: 0.00576359719921875, runtime_prepare_decoding_seconds: 3.39525524, num_column_commitments: 256, num_row_encodings: 512, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 256, num_row_decodings: 512, size_file_uncoded_bytes: 4194304, size_column_commitments_bytes: 26624, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 16.699775772, scenario_disperse_runtime_node_seconds: 0.18280000896875, scenario_disperse_communication_bytes: 44040192, scenario_disperse_storage_bytes: 44040192, scenario_retrieve_runtime_client_seconds: 53.039270943999995, scenario_sampling_num_openings: 256, scenario_sampling_runtime_prover_seconds: 0.06069339390234375, scenario_sampling_runtime_verifier_seconds: 0.010619741425781244, scenario_sampling_runtime_proof_size_bytes: 26776 }
1024 256 512 1 bls12-381  4161536  0.125851 0.011508  16.191120 0.063247 0.508655 0.000993 187.187209 0.182800  46.693054 0.182395 2.950962 0.005764 3.395255  256 512 1024 256 512  4194304 26624 16777216  16.699776 0.182800 44040192 44040192  53.039271  256 0.060693 0.010620 26776
