args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Args { n: 128, k: 43, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 699008, runtime_setup_seconds: 0.127632832, runtime_file_generation_seconds: 0.002396006, runtime_all_column_commitments_seconds: 2.405663253, runtime_per_column_commitment_seconds: 0.05594565704651163, runtime_all_row_encodings_seconds: 0.083551307, runtime_per_row_encoding_seconds: 0.000163186146484375, runtime_all_chunk_verifications_seconds: 9.831286152, runtime_per_chunk_verification_seconds: 0.0768069230625, runtime_all_downloaded_chunk_verifications_seconds: 2.570421217, runtime_per_downloaded_chunk_verification_seconds: 0.05977723760465116, runtime_all_row_decodings_seconds: 0.07525861, runtime_per_row_decoding_seconds: 0.00014698947265625, runtime_prepare_decoding_seconds: 0.044922705, num_column_commitments: 43, num_row_encodings: 512, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 43, num_row_decodings: 512, size_file_uncoded_bytes: 704512, size_column_commitments_bytes: 4472, size_file_coded_bytes: 2097152, scenario_disperse_runtime_client_seconds: 2.48921456, scenario_disperse_runtime_node_seconds: 0.0768069230625, scenario_disperse_communication_bytes: 2669568, scenario_disperse_storage_bytes: 2669568, scenario_retrieve_runtime_client_seconds: 2.6906025319999998, scenario_sampling_num_openings: 43, scenario_sampling_runtime_prover_seconds: 0.05757388023255813, scenario_sampling_runtime_verifier_seconds: 0.008992160325581396, scenario_sampling_runtime_proof_size_bytes: 4624 }
128 43 512 1 bls12-381  699008  0.127633 0.002396  2.405663 0.055946 0.083551 0.000163 9.831286 0.076807  2.570421 0.059777 0.075259 0.000147 0.044923  43 512 128 43 512  704512 4472 2097152  2.489215 0.076807 2669568 2669568  2.690603  43 0.057574 0.008992 4624
# Args { n: 256, k: 85, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 1381760, runtime_setup_seconds: 0.129204523, runtime_file_generation_seconds: 0.00457914, runtime_all_column_commitments_seconds: 5.291270307, runtime_per_column_commitment_seconds: 0.06225023890588235, runtime_all_row_encodings_seconds: 0.132742299, runtime_per_row_encoding_seconds: 0.000259262302734375, runtime_all_chunk_verifications_seconds: 24.977155577, runtime_per_chunk_verification_seconds: 0.09756701397265626, runtime_all_downloaded_chunk_verifications_seconds: 5.830870602, runtime_per_downloaded_chunk_verification_seconds: 0.06859847767058824, runtime_all_row_decodings_seconds: 0.291697637, runtime_per_row_decoding_seconds: 0.000569721947265625, runtime_prepare_decoding_seconds: 0.20997835, num_column_commitments: 85, num_row_encodings: 512, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 85, num_row_decodings: 512, size_file_uncoded_bytes: 1392640, size_column_commitments_bytes: 8840, size_file_coded_bytes: 4194304, scenario_disperse_runtime_client_seconds: 5.424012606, scenario_disperse_runtime_node_seconds: 0.09756701397265626, scenario_disperse_communication_bytes: 6457344, scenario_disperse_storage_bytes: 6457344, scenario_retrieve_runtime_client_seconds: 6.332546589000001, scenario_sampling_num_openings: 85, scenario_sampling_runtime_prover_seconds: 0.06059235882352937, scenario_sampling_runtime_verifier_seconds: 0.010796975235294113, scenario_sampling_runtime_proof_size_bytes: 8992 }
256 85 512 1 bls12-381  1381760  0.129205 0.004579  5.291270 0.062250 0.132742 0.000259 24.977156 0.097567  5.830871 0.068598 0.291698 0.000570 0.209978  85 512 256 85 512  1392640 8840 4194304  5.424013 0.097567 6457344 6457344  6.332547  85 0.060592 0.010797 8992
# Args { n: 512, k: 171, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 2779776, runtime_setup_seconds: 0.128006446, runtime_file_generation_seconds: 0.007172481, runtime_all_column_commitments_seconds: 9.496201979, runtime_per_column_commitment_seconds: 0.055533344906432754, runtime_all_row_encodings_seconds: 0.279017667, runtime_per_row_encoding_seconds: 0.000544956380859375, runtime_all_chunk_verifications_seconds: 69.968477383, runtime_per_chunk_verification_seconds: 0.1366571823886719, runtime_all_downloaded_chunk_verifications_seconds: 11.422766254999999, runtime_per_downloaded_chunk_verification_seconds: 0.06679980266081871, runtime_all_row_decodings_seconds: 1.274988057, runtime_per_row_decoding_seconds: 0.002490211048828125, runtime_prepare_decoding_seconds: 1.252209442, num_column_commitments: 171, num_row_encodings: 512, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 171, num_row_decodings: 512, size_file_uncoded_bytes: 2801664, size_column_commitments_bytes: 17784, size_file_coded_bytes: 8388608, scenario_disperse_runtime_client_seconds: 9.775219646, scenario_disperse_runtime_node_seconds: 0.1366571823886719, scenario_disperse_communication_bytes: 17494016, scenario_disperse_storage_bytes: 17494016, scenario_retrieve_runtime_client_seconds: 13.949963753999999, scenario_sampling_num_openings: 171, scenario_sampling_runtime_prover_seconds: 0.06055248180701756, scenario_sampling_runtime_verifier_seconds: 0.010727099040935677, scenario_sampling_runtime_proof_size_bytes: 17936 }
512 171 512 1 bls12-381  2779776  0.128006 0.007172  9.496202 0.055533 0.279018 0.000545 69.968477 0.136657  11.422766 0.066800 1.274988 0.002490 1.252209  171 512 512 171 512  2801664 17784 8388608  9.775220 0.136657 17494016 17494016  13.949964  171 0.060552 0.010727 17936
# Args { n: 1024, k: 341, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 5543296, runtime_setup_seconds: 0.122208493, runtime_file_generation_seconds: 0.016079899, runtime_all_column_commitments_seconds: 18.838856668, runtime_per_column_commitment_seconds: 0.055245913982404686, runtime_all_row_encodings_seconds: 0.531700049, runtime_per_row_encoding_seconds: 0.001038476658203125, runtime_all_chunk_verifications_seconds: 227.324161228, runtime_per_chunk_verification_seconds: 0.22199625119921876, runtime_all_downloaded_chunk_verifications_seconds: 22.089515122, runtime_per_downloaded_chunk_verification_seconds: 0.06477863672140763, runtime_all_row_decodings_seconds: 5.471645763, runtime_per_row_decoding_seconds: 0.010686808130859374, runtime_prepare_decoding_seconds: 7.461091094, num_column_commitments: 341, num_row_encodings: 512, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 341, num_row_decodings: 512, size_file_uncoded_bytes: 5586944, size_column_commitments_bytes: 35464, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 19.370556717, scenario_disperse_runtime_node_seconds: 0.22199625119921876, scenario_disperse_communication_bytes: 53092352, scenario_disperse_storage_bytes: 53092352, scenario_retrieve_runtime_client_seconds: 35.022251979, scenario_sampling_num_openings: 341, scenario_sampling_runtime_prover_seconds: 0.05787449611730206, scenario_sampling_runtime_verifier_seconds: 0.009008133313782994, scenario_sampling_runtime_proof_size_bytes: 35616 }
1024 341 512 1 bls12-381  5543296  0.122208 0.016080  18.838857 0.055246 0.531700 0.001038 227.324161 0.221996  22.089515 0.064779 5.471646 0.010687 7.461091  341 512 1024 341 512  5586944 35464 16777216  19.370557 0.221996 53092352 53092352  35.022252  341 0.057874 0.009008 35616
