args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
128 43 512 1 bls12-381  699008  0.125959 0.002616  2.406200 0.055958 0.086937 0.000170 9.460539 0.073910  3.218101 0.074840 0.075177 0.000147 0.040280  43 512 128 43 512  704512 4472 2097152  2.493137 0.073910 2669568 2669568  3.333558  43 0.057655 0.009024 4624
256 85 512 1 bls12-381  1381760  0.124095 0.004693  4.745660 0.055831 0.142916 0.000279 24.122569 0.094229  8.072254 0.094968 0.290964 0.000568 0.201202  85 512 256 85 512  1392640 8840 4194304  4.888576 0.094229 6457344 6457344  8.564420  85 0.057880 0.009004 8992
512 171 512 1 bls12-381  2779776  0.127740 0.007821  10.592891 0.061947 0.258766 0.000505 71.546455 0.139739  23.917682 0.139869 1.278719 0.002497 1.163763  171 512 512 171 512  2801664 17784 8388608  10.851657 0.139739 17494016 17494016  26.360164  171 0.060572 0.010990 17936
1024 341 512 1 bls12-381  5543296  0.125724 0.016082  21.070532 0.061790 0.508752 0.000994 230.126654 0.224733  76.676219 0.224857 5.489991 0.010723 7.391237  341 512 1024 341 512  5586944 35464 16777216  21.579284 0.224733 53092352 53092352  89.557446  341 0.060522 0.010778 35616
128 43 1024 1 bls12-381  1398016  0.201304 0.004700  3.660867 0.085136 0.160732 0.000157 13.098762 0.102334  4.386040 0.102001 0.150875 0.000147 0.040826  43 1024 128 43 1024  1409024 4472 4194304  3.821600 0.102334 4766720 4766720  4.577741  43 0.086541 0.009036 4624
256 85 1024 1 bls12-381  2763520  0.202911 0.009688  7.208252 0.084803 0.286745 0.000280 31.575447 0.123342  10.449144 0.122931 0.581463 0.000568 0.200596  85 1024 256 85 1024  2785280 8840 8388608  7.494998 0.123342 10651648 10651648  11.231203  85 0.086803 0.009097 8992
512 171 1024 1 bls12-381  5559552  0.205752 0.017577  16.016911 0.093666 0.513378 0.000501 87.381027 0.170666  29.050287 0.169885 2.558648 0.002499 1.159635  171 1024 512 171 1024  5603328 17784 16777216  16.530289 0.170666 25882624 25882624  32.768570  171 0.090360 0.010665 17936
1024 341 1024 1 bls12-381  11086592  0.203363 0.036510  28.940884 0.084871 1.054768 0.001030 257.701747 0.251662  85.742357 0.251444 10.678765 0.010428 7.393878  341 1024 1024 341 1024  11173888 35464 33554432  29.995651 0.251662 69869568 69869568  103.815000  341 0.086686 0.009417 35616
128 43 2048 1 bls12-381  2796032  0.334709 0.009599  6.481979 0.150744 0.331292 0.000162 22.327972 0.174437  7.531775 0.175158 0.301066 0.000147 0.040533  43 2048 128 43 2048  2818048 4472 8388608  6.813271 0.174437 8961024 8961024  7.873374  43 0.157475 0.011039 4624
256 85 2048 1 bls12-381  5527040  0.331934 0.019344  12.841369 0.151075 0.575996 0.000281 48.402586 0.189073  16.050271 0.188827 1.163011 0.000568 0.199979  85 2048 256 85 2048  5570560 8840 16777216  13.417365 0.189073 19040256 19040256  17.413260  85 0.151653 0.009270 8992
