args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   
128 58 512 1 bn254  939136  0.064795 0.005596  1.539050 0.026535 0.088624 0.000173 5.914287 0.046205  1.623552 0.027992 0.137106 0.000268 0.086975  58 512 128 58 512  950272 4176 2097152  1.627674 0.046205 2631680 2631680  1.847633  58 0.031026 0.007708 4296
256 115 512 1 bn254  1862080  0.067104 0.008392  3.042062 0.026453 0.146656 0.000286 13.909046 0.054332  3.258428 0.028334 0.583435 0.001140 0.433069  115 512 256 115 512  1884160 8280 4194304  3.188718 0.054332 6313984 6313984  4.274932  115 0.031255 0.007707 8400
512 230 512 1 bn254  3724160  0.067520 0.012951  6.084529 0.026454 0.281125 0.000549 43.840683 0.085626  6.589693 0.028651 2.435591 0.004757 2.582866  230 512 512 230 512  3768320 16560 8388608  6.365654 0.085626 16867328 16867328  11.608151  230 0.031283 0.007798 16680
1024 461 512 1 bn254  7464512  0.064957 0.025260  14.544517 0.031550 0.508939 0.000994 146.159403 0.142734  15.754823 0.034175 10.203010 0.019928 17.811111  461 512 1024 461 512  7553024 33192 16777216  15.053456 0.142734 50765824 50765824  43.768944  461 0.032409 0.008032 33312
128 58 1024 1 bn254  1878272  0.107968 0.008229  2.548652 0.043942 0.167995 0.000164 8.067203 0.063025  2.931424 0.050542 0.279018 0.000272 0.088176  58 1024 128 58 1024  1900544 4176 4194304  2.716647 0.063025 4728832 4728832  3.298618  58 0.047750 0.007959 4296
256 115 1024 1 bn254  3724160  0.107246 0.012310  4.756433 0.041360 0.277313 0.000271 17.653036 0.068957  4.974735 0.043259 1.167198 0.001140 0.432636  115 1024 256 115 1024  3768320 8280 8388608  5.033746 0.068957 10508288 10508288  6.574569  115 0.046339 0.007759 8400
512 230 1024 1 bn254  7448320  0.105927 0.025014  10.568501 0.045950 0.515934 0.000504 51.550512 0.100685  11.485657 0.049938 4.806135 0.004693 2.664701  230 1024 512 230 1024  7536640 16560 16777216  11.084435 0.100685 25255936 25255936  18.956493  230 0.047873 0.008049 16680
1024 461 1024 1 bn254  14929024  0.104534 0.050123  19.684775 0.042700 1.025151 0.001001 162.090525 0.158292  23.853347 0.051743 20.974743 0.020483 17.691632  461 1024 1024 461 1024  15106048 33192 33554432  20.709926 0.158292 67543040 67543040  62.519722  461 0.047917 0.008089 33312
128 58 2048 1 bn254  3756544  0.177249 0.014878  4.419492 0.076198 0.341679 0.000167 11.971194 0.093525  4.643724 0.080064 0.550141 0.000269 0.087850  58 2048 128 58 2048  3801088 4176 8388608  4.761170 0.093525 8923136 8923136  5.281715  58 0.079112 0.007017 4296
256 115 2048 1 bn254  7448320  0.174050 0.025920  8.933328 0.077681 0.541531 0.000264 27.310803 0.106683  9.227736 0.080241 2.333129 0.001139 0.432669  115 2048 256 115 2048  7536640 8280 16777216  9.474859 0.106683 18896896 18896896  11.993533  115 0.082295 0.007815 8400
512 230 2048 1 bn254  14896640  0.177863 0.051837  17.687432 0.076902 1.113049 0.000543 67.358145 0.131559  19.001057 0.082613 9.595281 0.004685 2.587567  230 2048 512 230 2048  15073280 16560 33554432  18.800481 0.131559 42033152 42033152  31.183905  230 0.078957 0.007010 16680
1024 461 2048 1 bn254  29858048  0.179094 0.099460  35.574108 0.077167 2.149304 0.001049 194.619746 0.190058  37.588498 0.081537 40.544576 0.019797 17.524692  461 2048 1024 461 2048  30212096 33192 67108864  37.723412 0.190058 101097472 101097472  95.657766  461 0.079100 0.007093 33312
128 58 4096 1 bn254  7513088  0.303723 0.025826  7.904795 0.136290 0.649581 0.000159 19.965109 0.155977  8.041021 0.138638 1.116290 0.000273 0.089115  58 4096 128 58 4096  7602176 4176 16777216  8.554377 0.155977 17311744 17311744  9.246425  58 0.144534 0.007900 4296
256 115 4096 1 bn254  14896640  0.300752 0.051656  17.007707 0.147893 1.175799 0.000287 41.403753 0.161733  17.121577 0.148883 4.611459 0.001126 0.431513  115 4096 256 115 4096  15073280 8280 33554432  18.183506 0.161733 35674112 35674112  22.164550  115 0.142285 0.007357 8400
512 230 4096 1 bn254  29793280  0.300587 0.099837  33.527596 0.145772 2.053792 0.000501 99.396914 0.194135  33.560996 0.145917 19.213051 0.004691 2.592174  230 4096 512 230 4096  30146560 16560 67108864  35.581388 0.194135 75587584 75587584  55.366220  230 0.143137 0.007702 16680
1024 461 4096 1 bn254  59716096  0.299978 0.198089  66.813506 0.144932 4.190504 0.001023 256.418925 0.250409  69.151221 0.150003 82.762349 0.020206 17.532677  461 4096 1024 461 4096  60424192 33192 134217728  71.004009 0.250409 168206336 168206336  169.446246  461 0.143432 0.007417 33312
