args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Args { n: 128, k: 32, L: 4096, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 4161536, runtime_setup_seconds: 0.55780937, runtime_file_generation_seconds: 0.011187716, runtime_all_column_commitments_seconds: 8.985319419, runtime_per_column_commitment_seconds: 0.28079123184375, runtime_all_row_encodings_seconds: 0.659484493, runtime_per_row_encoding_seconds: 0.00016100695629882813, runtime_all_chunk_verifications_seconds: 36.366227488, runtime_per_chunk_verification_seconds: 0.28411115225, runtime_all_downloaded_chunk_verifications_seconds: 8.938731495, runtime_per_downloaded_chunk_verification_seconds: 0.27933535921875, runtime_all_row_decodings_seconds: 0.361843276, runtime_per_row_decoding_seconds: 8.83406435546875e-5, runtime_prepare_decoding_seconds: 0.027303729, num_column_commitments: 32, num_row_encodings: 4096, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 32, num_row_decodings: 4096, size_file_uncoded_bytes: 4194304, size_column_commitments_bytes: 3328, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 9.644803912, scenario_disperse_runtime_node_seconds: 0.28411115225, scenario_disperse_communication_bytes: 17203200, scenario_disperse_storage_bytes: 17203200, scenario_retrieve_runtime_client_seconds: 9.3278785, scenario_sampling_num_openings: 32, scenario_sampling_runtime_prover_seconds: 0.27326369762499997, scenario_sampling_runtime_verifier_seconds: 0.013288223312499998, scenario_sampling_runtime_proof_size_bytes: 3480 }
128 32 4096 1 bls12-381  4161536  0.557809 0.011188  8.985319 0.280791 0.659484 0.000161 36.366227 0.284111  8.938731 0.279335 0.361843 0.000088 0.027304  32 4096 128 32 4096  4194304 3328 16777216  9.644804 0.284111 17203200 17203200  9.327879  32 0.273264 0.013288 3480
# Args { n: 256, k: 64, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 4161536, runtime_setup_seconds: 0.333742813, runtime_file_generation_seconds: 0.014715551, runtime_all_column_commitments_seconds: 9.796970762, runtime_per_column_commitment_seconds: 0.15307766815625, runtime_all_row_encodings_seconds: 0.528335229, runtime_per_row_encoding_seconds: 0.00025797618603515623, runtime_all_chunk_verifications_seconds: 47.462954201, runtime_per_chunk_verification_seconds: 0.18540216484765626, runtime_all_downloaded_chunk_verifications_seconds: 10.555020305, runtime_per_downloaded_chunk_verification_seconds: 0.164922192265625, runtime_all_row_decodings_seconds: 0.677869127, runtime_per_row_decoding_seconds: 0.00033099078466796876, runtime_prepare_decoding_seconds: 0.110569749, num_column_commitments: 64, num_row_encodings: 2048, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 64, num_row_decodings: 2048, size_file_uncoded_bytes: 4194304, size_column_commitments_bytes: 6656, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 10.325305991, scenario_disperse_runtime_node_seconds: 0.18540216484765626, scenario_disperse_communication_bytes: 18481152, scenario_disperse_storage_bytes: 18481152, scenario_retrieve_runtime_client_seconds: 11.343459180999998, scenario_sampling_num_openings: 64, scenario_sampling_runtime_prover_seconds: 0.157687590625, scenario_sampling_runtime_verifier_seconds: 0.011033731843749998, scenario_sampling_runtime_proof_size_bytes: 6808 }
256 64 2048 1 bls12-381  4161536  0.333743 0.014716  9.796971 0.153078 0.528335 0.000258 47.462954 0.185402  10.555020 0.164922 0.677869 0.000331 0.110570  64 2048 256 64 2048  4194304 6656 16777216  10.325306 0.185402 18481152 18481152  11.343459  64 0.157688 0.011034 6808
# Args { n: 512, k: 128, L: 1024, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 4161536, runtime_setup_seconds: 0.204195605, runtime_file_generation_seconds: 0.014874366, runtime_all_column_commitments_seconds: 10.883980866, runtime_per_column_commitment_seconds: 0.085031100515625, runtime_all_row_encodings_seconds: 0.560786119, runtime_per_row_encoding_seconds: 0.0005476426943359375, runtime_all_chunk_verifications_seconds: 74.183077043, runtime_per_chunk_verification_seconds: 0.14488882234960937, runtime_all_downloaded_chunk_verifications_seconds: 11.795177078, runtime_per_downloaded_chunk_verification_seconds: 0.092149820921875, runtime_all_row_decodings_seconds: 1.430035676, runtime_per_row_decoding_seconds: 0.00139651921484375, runtime_prepare_decoding_seconds: 0.563776857, num_column_commitments: 128, num_row_encodings: 1024, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 128, num_row_decodings: 1024, size_file_uncoded_bytes: 4194304, size_column_commitments_bytes: 13312, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 11.444766985, scenario_disperse_runtime_node_seconds: 0.14488882234960937, scenario_disperse_communication_bytes: 23592960, scenario_disperse_storage_bytes: 23592960, scenario_retrieve_runtime_client_seconds: 13.788989611, scenario_sampling_num_openings: 128, scenario_sampling_runtime_prover_seconds: 0.08675041574218752, scenario_sampling_runtime_verifier_seconds: 0.009335943593749996, scenario_sampling_runtime_proof_size_bytes: 13464 }
512 128 1024 1 bls12-381  4161536  0.204196 0.014874  10.883981 0.085031 0.560786 0.000548 74.183077 0.144889  11.795177 0.092150 1.430036 0.001397 0.563777  128 1024 512 128 1024  4194304 13312 16777216  11.444767 0.144889 23592960 23592960  13.788990  128 0.086750 0.009336 13464
# Args { n: 1024, k: 256, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 4161536, runtime_setup_seconds: 0.127207217, runtime_file_generation_seconds: 0.012495261, runtime_all_column_commitments_seconds: 14.26962784, runtime_per_column_commitment_seconds: 0.05574073375, runtime_all_row_encodings_seconds: 0.532382615, runtime_per_row_encoding_seconds: 0.001039809794921875, runtime_all_chunk_verifications_seconds: 184.416466564, runtime_per_chunk_verification_seconds: 0.18009420562890624, runtime_all_downloaded_chunk_verifications_seconds: 16.413349644, runtime_per_downloaded_chunk_verification_seconds: 0.064114647046875, runtime_all_row_decodings_seconds: 2.963347974, runtime_per_row_decoding_seconds: 0.00578778901171875, runtime_prepare_decoding_seconds: 3.438235341, num_column_commitments: 256, num_row_encodings: 512, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 256, num_row_decodings: 512, size_file_uncoded_bytes: 4194304, size_column_commitments_bytes: 26624, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 14.802010455, scenario_disperse_runtime_node_seconds: 0.18009420562890624, scenario_disperse_communication_bytes: 44040192, scenario_disperse_storage_bytes: 44040192, scenario_retrieve_runtime_client_seconds: 22.814932959, scenario_sampling_num_openings: 256, scenario_sampling_runtime_prover_seconds: 0.059748126894531246, scenario_sampling_runtime_verifier_seconds: 0.010231089996093748, scenario_sampling_runtime_proof_size_bytes: 26776 }
1024 256 512 1 bls12-381  4161536  0.127207 0.012495  14.269628 0.055741 0.532383 0.001040 184.416467 0.180094  16.413350 0.064115 2.963348 0.005788 3.438235  256 512 1024 256 512  4194304 26624 16777216  14.802010 0.180094 44040192 44040192  22.814933  256 0.059748 0.010231 26776
