args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Args { n: 128, k: 58, L: 4096, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 7542784, runtime_setup_seconds: 0.561225146, runtime_file_generation_seconds: 0.025007336, runtime_all_column_commitments_seconds: 15.700181098, runtime_per_column_commitment_seconds: 0.27069277755172416, runtime_all_row_encodings_seconds: 0.655566192, runtime_per_row_encoding_seconds: 0.00016005033984375, runtime_all_chunk_verifications_seconds: 39.409888886, runtime_per_chunk_verification_seconds: 0.307889756921875, runtime_all_downloaded_chunk_verifications_seconds: 15.850723531, runtime_per_downloaded_chunk_verification_seconds: 0.2732883367413793, runtime_all_row_decodings_seconds: 1.08701425, runtime_per_row_decoding_seconds: 0.00026538433837890624, runtime_prepare_decoding_seconds: 0.086849512, num_column_commitments: 58, num_row_encodings: 4096, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 58, num_row_decodings: 4096, size_file_uncoded_bytes: 7602176, size_column_commitments_bytes: 6032, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 16.35574729, scenario_disperse_runtime_node_seconds: 0.307889756921875, scenario_disperse_communication_bytes: 17549312, scenario_disperse_storage_bytes: 17549312, scenario_retrieve_runtime_client_seconds: 17.024587293, scenario_sampling_num_openings: 58, scenario_sampling_runtime_prover_seconds: 0.2778170910689655, scenario_sampling_runtime_verifier_seconds: 0.011744592965517242, scenario_sampling_runtime_proof_size_bytes: 6184 }
128 58 4096 1 bls12-381  7542784  0.561225 0.025007  15.700181 0.270693 0.655566 0.000160 39.409889 0.307890  15.850724 0.273288 1.087014 0.000265 0.086850  58 4096 128 58 4096  7602176 6032 16777216  16.355747 0.307890 17549312 17549312  17.024587  58 0.277817 0.011745 6184
# Args { n: 256, k: 115, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 7477760, runtime_setup_seconds: 0.331401741, runtime_file_generation_seconds: 0.02596441, runtime_all_column_commitments_seconds: 17.374841957, runtime_per_column_commitment_seconds: 0.1510855822347826, runtime_all_row_encodings_seconds: 0.57978321, runtime_per_row_encoding_seconds: 0.0002830972705078125, runtime_all_chunk_verifications_seconds: 52.047538055, runtime_per_chunk_verification_seconds: 0.20331069552734374, runtime_all_downloaded_chunk_verifications_seconds: 17.893153962, runtime_per_downloaded_chunk_verification_seconds: 0.1555926431478261, runtime_all_row_decodings_seconds: 2.2695511760000002, runtime_per_row_decoding_seconds: 0.0011081792851562501, runtime_prepare_decoding_seconds: 0.431975488, num_column_commitments: 115, num_row_encodings: 2048, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 115, num_row_decodings: 2048, size_file_uncoded_bytes: 7536640, size_column_commitments_bytes: 11960, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 17.954625167, scenario_disperse_runtime_node_seconds: 0.20331069552734374, scenario_disperse_communication_bytes: 19838976, scenario_disperse_storage_bytes: 19838976, scenario_retrieve_runtime_client_seconds: 20.594680626, scenario_sampling_num_openings: 115, scenario_sampling_runtime_prover_seconds: 0.15126168814782606, scenario_sampling_runtime_verifier_seconds: 0.009268902095652174, scenario_sampling_runtime_proof_size_bytes: 12112 }
256 115 2048 1 bls12-381  7477760  0.331402 0.025964  17.374842 0.151086 0.579783 0.000283 52.047538 0.203311  17.893154 0.155593 2.269551 0.001108 0.431975  115 2048 256 115 2048  7536640 11960 16777216  17.954625 0.203311 19838976 19838976  20.594681  115 0.151262 0.009269 12112
# Args { n: 512, k: 230, L: 1024, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 7477760, runtime_setup_seconds: 0.204542472, runtime_file_generation_seconds: 0.022811603, runtime_all_column_commitments_seconds: 19.597951613, runtime_per_column_commitment_seconds: 0.08520848527391305, runtime_all_row_encodings_seconds: 0.557633465, runtime_per_row_encoding_seconds: 0.0005445639306640625, runtime_all_chunk_verifications_seconds: 102.516990134, runtime_per_chunk_verification_seconds: 0.20022849635546874, runtime_all_downloaded_chunk_verifications_seconds: 21.352565935, runtime_per_downloaded_chunk_verification_seconds: 0.09283724319565217, runtime_all_row_decodings_seconds: 4.8006602350000005, runtime_per_row_decoding_seconds: 0.004688144760742188, runtime_prepare_decoding_seconds: 2.648315884, num_column_commitments: 230, num_row_encodings: 1024, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 230, num_row_decodings: 1024, size_file_uncoded_bytes: 7536640, size_column_commitments_bytes: 23920, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 20.155585077999998, scenario_disperse_runtime_node_seconds: 0.20022849635546874, scenario_disperse_communication_bytes: 29024256, scenario_disperse_storage_bytes: 29024256, scenario_retrieve_runtime_client_seconds: 28.801542054000002, scenario_sampling_num_openings: 230, scenario_sampling_runtime_prover_seconds: 0.09410445401304349, scenario_sampling_runtime_verifier_seconds: 0.012002221139130438, scenario_sampling_runtime_proof_size_bytes: 24072 }
512 230 1024 1 bls12-381  7477760  0.204542 0.022812  19.597952 0.085208 0.557633 0.000545 102.516990 0.200228  21.352566 0.092837 4.800660 0.004688 2.648316  230 1024 512 230 1024  7536640 23920 16777216  20.155585 0.200228 29024256 29024256  28.801542  230 0.094104 0.012002 24072
# Args { n: 1024, k: 461, L: 512, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 7494016, runtime_setup_seconds: 0.129437394, runtime_file_generation_seconds: 0.020232042, runtime_all_column_commitments_seconds: 25.741357445, runtime_per_column_commitment_seconds: 0.05583808556399132, runtime_all_row_encodings_seconds: 0.537730054, runtime_per_row_encoding_seconds: 0.00105025401171875, runtime_all_chunk_verifications_seconds: 288.302073434, runtime_per_chunk_verification_seconds: 0.28154499358789065, runtime_all_downloaded_chunk_verifications_seconds: 28.008064752, runtime_per_downloaded_chunk_verification_seconds: 0.06075502115401302, runtime_all_row_decodings_seconds: 10.132529099, runtime_per_row_decoding_seconds: 0.019790095896484373, runtime_prepare_decoding_seconds: 17.340415641, num_column_commitments: 461, num_row_encodings: 512, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 461, num_row_decodings: 512, size_file_uncoded_bytes: 7553024, size_column_commitments_bytes: 47944, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 26.279087499, scenario_disperse_runtime_node_seconds: 0.28154499358789065, scenario_disperse_communication_bytes: 65871872, scenario_disperse_storage_bytes: 65871872, scenario_retrieve_runtime_client_seconds: 55.481009492, scenario_sampling_num_openings: 461, scenario_sampling_runtime_prover_seconds: 0.05791314496746199, scenario_sampling_runtime_verifier_seconds: 0.008997096195227773, scenario_sampling_runtime_proof_size_bytes: 48096 }
1024 461 512 1 bls12-381  7494016  0.129437 0.020232  25.741357 0.055838 0.537730 0.001050 288.302073 0.281545  28.008065 0.060755 10.132529 0.019790 17.340416  461 512 1024 461 512  7553024 47944 16777216  26.279087 0.281545 65871872 65871872  55.481009  461 0.057913 0.008997 48096
# Args { n: 128, k: 58, L: 8192, iterations: 1, curve: Bls12_381 }
