args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
128 32 4096 1 bls12-381  4161536  0.557809 0.011188  8.985319 0.280791 0.659484 0.000161 36.366227 0.284111  8.938731 0.279335 0.361843 0.000088 0.027304  32 4096 128 32 4096  4194304 3328 16777216  9.644804 0.284111 17203200 17203200  9.327879  32 0.273264 0.013288 3480
256 64 2048 1 bls12-381  4161536  0.333743 0.014716  9.796971 0.153078 0.528335 0.000258 47.462954 0.185402  10.555020 0.164922 0.677869 0.000331 0.110570  64 2048 256 64 2048  4194304 6656 16777216  10.325306 0.185402 18481152 18481152  11.343459  64 0.157688 0.011034 6808
512 128 1024 1 bls12-381  4161536  0.204196 0.014874  10.883981 0.085031 0.560786 0.000548 74.183077 0.144889  11.795177 0.092150 1.430036 0.001397 0.563777  128 1024 512 128 1024  4194304 13312 16777216  11.444767 0.144889 23592960 23592960  13.788990  128 0.086750 0.009336 13464
1024 256 512 1 bls12-381  4161536  0.127207 0.012495  14.269628 0.055741 0.532383 0.001040 184.416467 0.180094  16.413350 0.064115 2.963348 0.005788 3.438235  256 512 1024 256 512  4194304 26624 16777216  14.802010 0.180094 44040192 44040192  22.814933  256 0.059748 0.010231 26776
128 32 8192 1 bls12-381  8323072  1.032233 0.022985  14.640251 0.457508 1.255622 0.000153 60.035796 0.469030  14.847936 0.463998 0.724183 0.000088 0.028186  32 8192 128 32 8192  8388608 3328 33554432  15.895873 0.469030 33980416 33980416  15.600304  32 0.458460 0.014241 3480
256 64 4096 1 bls12-381  8323072  0.561945 0.023134  18.150433 0.283601 1.130426 0.000276 75.923637 0.296577  18.396105 0.287439 1.345517 0.000328 0.107780  64 4096 256 64 4096  8388608 6656 33554432  19.280859 0.296577 35258368 35258368  19.849403  64 0.273721 0.012521 6808
512 128 2048 1 bls12-381  8323072  0.331455 0.028456  19.503183 0.152369 0.990190 0.000483 111.686120 0.218137  21.113615 0.164950 3.025828 0.001477 0.595882  128 2048 512 128 2048  8388608 13312 33554432  20.493373 0.218137 40370176 40370176  24.735324  128 0.158087 0.010955 13464
1024 256 1024 1 bls12-381  8323072  0.204758 0.024279  21.713009 0.084816 1.061883 0.001037 213.649842 0.208642  23.872973 0.093254 5.903812 0.005765 3.432909  256 1024 1024 256 1024  8388608 26624 33554432  22.774892 0.208642 60817408 60817408  33.209694  256 0.086697 0.009105 26776
128 32 16384 1 bls12-381  16646144  1.844891 0.049295  26.648665 0.832771 2.495991 0.000152 108.530106 0.847891  26.724502 0.835141 1.364414 0.000083 0.027325  32 16384 128 32 16384  16777216 3328 67108864  29.144656 0.847891 67534848 67534848  28.116240  32 0.840597 0.013599 3480
256 64 8192 1 bls12-381  16646144  1.032134 0.051722  29.126466 0.455101 2.097667 0.000256 123.282085 0.481571  29.562855 0.461920 2.762801 0.000337 0.115497  64 8192 256 64 8192  16777216 6656 67108864  31.224133 0.481571 68812800 68812800  32.441153  64 0.458019 0.014301 6808
512 128 4096 1 bls12-381  16646144  0.558277 0.048559  35.753172 0.279322 2.085193 0.000509 168.476581 0.329056  37.362883 0.291898 5.725946 0.001398 0.563569  128 4096 512 128 4096  16777216 13312 67108864  37.838364 0.329056 73924608 73924608  43.652397  128 0.274062 0.012882 13464
1024 256 2048 1 bls12-381  16646144  0.334452 0.050532  39.894784 0.155839 2.011063 0.000982 288.501828 0.281740  42.456067 0.165844 11.715129 0.005720 3.437599  256 2048 1024 256 2048  16777216 26624 67108864  41.905847 0.281740 94371840 94371840  57.608795  256 0.158343 0.010767 26776
128 32 32768 1 bls12-381  33292288  3.303645 0.106158  49.018304 1.531822 4.971755 0.000152 197.821265 1.545479  49.078616 1.533707 2.734638 0.000083 0.025549  32 32768 128 32 32768  33554432 3328 134217728  53.990060 1.545479 134643712 134643712  51.838802  32 1.540848 0.011614 3480
256 64 16384 1 bls12-381  33292288  1.849122 0.103802  53.263509 0.832242 4.515275 0.000276 221.602045 0.865633  53.564148 0.836940 5.382032 0.000328 0.106677  64 16384 256 64 16384  33554432 6656 134217728  57.778784 0.865633 135921664 135921664  59.052858  64 0.842555 0.012950 6808
512 128 8192 1 bls12-381  33292288  1.031512 0.096755  58.348961 0.455851 3.929006 0.000480 263.451859 0.514554  59.159023 0.462180 11.438704 0.001396 0.567116  128 8192 512 128 8192  33554432 13312 134217728  62.277967 0.514554 141033472 141033472  71.164843  128 0.458857 0.014136 13464
1024 256 4096 1 bls12-381  33292288  0.557494 0.097554  72.964476 0.285017 4.108079 0.001003 402.330470 0.392901  74.168464 0.289721 23.408382 0.005715 3.434505  256 4096 1024 256 4096  33554432 26624 134217728  77.072554 0.392901 161480704 161480704  101.011351  256 0.273733 0.012731 26776
128 32 4096 1 bn254  4145152  0.299306 0.013015  4.446563 0.138955 0.662317 0.000162 19.712419 0.154003  4.880339 0.152511 0.348703 0.000085 0.026505  32 4096 128 32 4096  4194304 2304 16777216  5.108880 0.154003 17072128 17072128  5.255547  32 0.149042 0.007708 2424
256 64 2048 1 bn254  4145152  0.174400 0.015643  5.087226 0.079488 0.571555 0.000279 23.662810 0.092433  5.118700 0.079980 0.691947 0.000338 0.107035  64 2048 256 64 2048  4194304 4608 16777216  5.658781 0.092433 17956864 17956864  5.917682  64 0.079042 0.007034 4728
512 128 1024 1 bn254  4145152  0.107809 0.016920  5.417573 0.042325 0.559716 0.000547 37.392981 0.073033  5.786347 0.045206 1.479313 0.001445 0.564079  128 1024 512 128 1024  4194304 9216 16777216  5.977289 0.073033 21495808 21495808  7.829739  128 0.046105 0.007856 9336
1024 256 512 1 bn254  4145152  0.064924 0.014837  6.760526 0.026408 0.542162 0.001059 92.463948 0.090297  7.802675 0.030479 3.067049 0.005990 3.468882  256 512 1024 256 512  4194304 18432 16777216  7.302688 0.090297 35651584 35651584  14.338607  256 0.031206 0.007770 18552
