args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   
128 58 4096 1 bls12-381  7542784  0.586938 0.020903  15.989508 0.275681 0.642842 0.000157 39.562871 0.309085  17.799273 0.306884 1.084432 0.000265 0.080238  58 4096 128 58 4096  7602176 6032 16777216  16.632350 0.309085 17549312 17549312  18.963943  58 0.282588 0.012476 6184
256 115 2048 1 bls12-381  7477760  0.334486 0.025663  17.744959 0.154304 0.582800 0.000285 53.331548 0.208326  23.833933 0.207252 2.311584 0.001129 0.423928  115 2048 256 115 2048  7536640 11960 16777216  18.327759 0.208326 19838976 19838976  26.569445  115 0.152364 0.009755 12112
512 230 1024 1 bls12-381  7477760  0.205771 0.021629  20.985230 0.091240 0.514599 0.000503 104.822949 0.204732  46.683822 0.202973 5.109095 0.004989 2.721389  230 1024 512 230 1024  7536640 23920 16777216  21.499829 0.204732 29024256 29024256  54.514306  230 0.089865 0.009858 24072
1024 461 512 1 bls12-381  7494016  0.129333 0.020881  25.640319 0.055619 0.534714 0.001044 288.545769 0.281783  130.029943 0.282061 10.103670 0.019734 17.202392  461 512 1024 461 512  7553024 47944 16777216  26.175033 0.281783 65871872 65871872  157.336006  461 0.057951 0.009026 48096
128 58 8192 1 bls12-381  15085568  1.042985 0.042104  26.619961 0.458965 1.292366 0.000158 61.617934 0.481390  27.842606 0.480045 2.145401 0.000262 0.080304  58 8192 128 58 8192  15204352 6032 33554432  27.912327 0.481390 34326528 34326528  30.068311  58 0.460365 0.014088 6184
256 115 4096 1 bls12-381  14955520  0.622807 0.048159  32.716082 0.284488 1.105456 0.000270 84.409844 0.329726  38.654884 0.336129 4.555527 0.001112 0.422166  115 4096 256 115 4096  15073280 11960 33554432  33.821538 0.329726 36616192 36616192  43.632577  115 0.280189 0.012985 12112
512 230 2048 1 bls12-381  14955520  0.333532 0.046976  34.996797 0.152160 1.027767 0.000502 137.749144 0.269041  61.686563 0.268202 9.437522 0.004608 2.543814  230 2048 512 230 2048  15073280 23920 33554432  36.024564 0.269041 45801472 45801472  73.667899  230 0.157922 0.010866 24072
1024 461 1024 1 bls12-381  14988032  0.198222 0.044799  42.979425 0.093231 1.018952 0.000995 323.307848 0.315730  145.295287 0.315174 19.894617 0.019428 17.210593  461 1024 1024 461 1024  15106048 47944 33554432  43.998377 0.315730 82649088 82649088  182.400497  461 0.090290 0.010838 48096
128 58 16384 1 bls12-381  30171136  1.844453 0.089056  48.255772 0.831996 2.586000 0.000158 110.240531 0.861254  49.871310 0.859850 4.286402 0.000262 0.080384  58 16384 128 58 16384  30408704 6032 67108864  50.841772 0.861254 67880960 67880960  54.238095  58 0.843604 0.012978 6184
256 115 8192 1 bls12-381  29911040  1.036074 0.087402  52.539330 0.456864 2.125539 0.000259 130.153556 0.508412  58.385041 0.507696 8.988145 0.001097 0.421184  115 8192 256 115 8192  30146560 11960 67108864  54.664869 0.508412 70170624 70170624  67.794369  115 0.459664 0.014304 12112
512 230 4096 1 bls12-381  29911040  0.560306 0.090065  63.721642 0.277051 1.977912 0.000483 205.405740 0.401183  92.732294 0.403184 21.121734 0.005157 2.618721  230 4096 512 230 4096  30146560 23920 67108864  65.699554 0.401183 79355904 79355904  116.472750  230 0.284690 0.012290 24072
1024 461 2048 1 bls12-381  29976064  0.333093 0.089166  69.667859 0.151123 2.083796 0.001017 389.725162 0.380591  176.859758 0.383644 40.028093 0.019545 17.202502  461 2048 1024 461 2048  30212096 47944 67108864  71.751655 0.380591 116203520 116203520  234.090353  461 0.157724 0.010705 48096
128 58 32768 1 bls12-381  60342272  3.346966 0.194360  89.218478 1.538250 5.384010 0.000164 200.391299 1.565557  90.846327 1.566316 8.856327 0.000270 0.079999  58 32768 128 58 32768  60817408 6032 134217728  94.602487 1.565557 134989824 134989824  99.782652  58 1.545361 0.014043 6184
256 115 16384 1 bls12-381  59822080  1.855232 0.195188  95.848593 0.833466 4.616182 0.000282 227.949099 0.890426  102.352965 0.890026 18.209260 0.001111 0.422433  115 16384 256 115 16384  60293120 11960 134217728  100.464775 0.890426 137279488 137279488  120.984659  115 0.845321 0.012877 12112
512 230 8192 1 bls12-381  59822080  1.031743 0.169267  104.921915 0.456182 4.016463 0.000490 289.736882 0.565892  130.082041 0.565574 37.055599 0.004523 2.541629  230 8192 512 230 8192  60293120 23920 134217728  108.938378 0.565892 146464768 146464768  169.679268  230 0.459078 0.014123 24072
1024 461 4096 1 bls12-381  59952128  0.560121 0.179568  129.051835 0.279939 4.161490 0.001016 518.774941 0.506616  234.008569 0.507611 88.745840 0.021666 19.741609  461 4096 1024 461 4096  60424192 47944 134217728  133.213325 0.506616 183312384 183312384  342.496018  461 0.275228 0.012291 48096
