args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   
128 58 4096 1 bn254  7513088  0.303439 0.026348  7.953705 0.137133 0.631422 0.000154 20.205075 0.157852  7.985471 0.137681 1.115367 0.000272 0.086426  58 4096 128 58 4096  7602176 4176 16777216  8.585126 0.157852 17311744 17311744  9.187264  58 0.144115 0.007957 4296
256 115 2048 1 bn254  7448320  0.180157 0.026015  8.974517 0.078039 0.540106 0.000264 27.201242 0.106255  9.302577 0.080892 2.333734 0.001140 0.434318  115 2048 256 115 2048  7536640 8280 16777216  9.514623 0.106255 18896896 18896896  12.070629  115 0.082264 0.008099 8400
512 230 1024 1 bn254  7448320  0.110571 0.025219  9.951867 0.043269 0.508883 0.000497 51.971580 0.101507  11.710338 0.050915 4.841728 0.004728 2.785207  230 1024 512 230 1024  7536640 16560 16777216  10.460750 0.101507 25255936 25255936  19.337273  230 0.047904 0.008124 16680
1024 461 512 1 bn254  7464512  0.067763 0.023794  14.539851 0.031540 0.513860 0.001004 146.080685 0.142657  15.728303 0.034118 10.185678 0.019894 17.546430  461 512 1024 461 512  7553024 33192 16777216  15.053710 0.142657 50765824 50765824  43.460411  461 0.032425 0.007899 33312
128 58 8192 1 bn254  15026176  0.551308 0.051428  14.233488 0.245405 1.378166 0.000168 31.771772 0.248217  14.457318 0.249264 2.230907 0.000272 0.086941  58 8192 128 58 8192  15204352 4176 33554432  15.611655 0.248217 34088960 34088960  16.775166  58 0.244519 0.008961 4296
256 115 4096 1 bn254  14896640  0.299363 0.050686  16.072270 0.139759 1.122471 0.000274 41.516060 0.162172  17.413091 0.151418 4.601967 0.001124 0.431796  115 4096 256 115 4096  15073280 8280 33554432  17.194740 0.162172 35674112 35674112  22.446854  115 0.142387 0.007613 8400
512 230 2048 1 bn254  14896640  0.175797 0.050518  18.069952 0.078565 1.117381 0.000546 67.379845 0.131601  18.118557 0.078776 9.564041 0.004670 2.591654  230 2048 512 230 2048  15073280 16560 33554432  19.187333 0.131601 42033152 42033152  30.274251  230 0.079123 0.007016 16680
1024 461 1024 1 bn254  14929024  0.106454 0.051236  19.750197 0.042842 1.083346 0.001058 165.376678 0.161501  20.248792 0.043924 22.198969 0.021679 19.885489  461 1024 1024 461 1024  15106048 33192 33554432  20.833543 0.161501 67543040 67543040  62.333250  461 0.046129 0.007856 33312
128 58 16384 1 bn254  30052352  0.994466 0.101446  24.726851 0.426325 2.569103 0.000157 56.751896 0.443374  24.695844 0.425790 4.406146 0.000269 0.088514  58 16384 128 58 16384  30408704 4176 67108864  27.295954 0.443374 67643392 67643392  29.190504  58 0.435935 0.008633 4296
256 115 8192 1 bn254  29793280  0.551643 0.101584  27.284205 0.237254 2.113243 0.000258 66.322301 0.259071  27.134173 0.235949 9.208001 0.001124 0.432692  115 8192 256 115 8192  30146560 8280 67108864  29.397448 0.259071 69228544 69228544  36.774866  115 0.240572 0.010624 8400
512 230 4096 1 bn254  29793280  0.300101 0.098680  34.235306 0.148849 2.080837 0.000508 98.152913 0.191705  34.993281 0.152145 19.420661 0.004741 2.587187  230 4096 512 230 4096  30146560 16560 67108864  36.316143 0.191705 75587584 75587584  57.001129  230 0.142442 0.007602 16680
1024 461 2048 1 bn254  29858048  0.184767 0.100477  35.951542 0.077986 2.074199 0.001013 198.425836 0.193775  37.723595 0.081830 40.562243 0.019806 17.536947  461 2048 1024 461 2048  30212096 33192 67108864  38.025741 0.193775 101097472 101097472  95.822785  461 0.082172 0.007918 33312
128 58 32768 1 bn254  60104704  1.782569 0.214753  45.754505 0.788871 5.263319 0.000161 102.875126 0.803712  45.804665 0.789736 8.932556 0.000273 0.087196  58 32768 128 58 32768  60817408 4176 134217728  51.017824 0.803712 134752256 134752256  54.824417  58 0.800895 0.007608 4296
256 115 16384 1 bn254  59586560  0.992557 0.210120  48.877530 0.425022 4.256300 0.000260 116.610669 0.455510  48.932095 0.425496 19.097608 0.001166 0.456972  115 16384 256 115 16384  60293120 8280 134217728  53.133830 0.455510 136337408 136337408  68.486676  115 0.435578 0.008930 8400
512 230 8192 1 bn254  59586560  0.549369 0.196721  55.293583 0.240407 4.076918 0.000498 149.046019 0.291106  57.392273 0.249532 38.194174 0.004662 2.593955  230 8192 512 230 8192  60293120 16560 134217728  59.370501 0.291106 142696448 142696448  98.180403  230 0.247623 0.009229 16680
1024 461 4096 1 bn254  59716096  0.297785 0.198061  67.171489 0.145708 4.134338 0.001009 264.714706 0.258510  65.041469 0.141088 82.973368 0.020257 17.569640  461 4096 1024 461 4096  60424192 33192 134217728  71.305827 0.258510 168206336 168206336  165.584477  461 0.144761 0.007909 33312
