args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Args { n: 32, k: 11, L: 65536, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 22888448, runtime_setup_seconds: 6.663881963, runtime_file_generation_seconds: 0.073485695, runtime_all_column_commitments_seconds: 33.47666763, runtime_per_column_commitment_seconds: 3.043333420909091, runtime_all_row_encodings_seconds: 3.77404123, runtime_per_row_encoding_seconds: 5.7587299041748046e-5, runtime_all_chunk_verifications_seconds: 93.528698987, runtime_per_chunk_verification_seconds: 2.92277184334375, runtime_all_downloaded_chunk_verifications_seconds: 30.990407131, runtime_per_downloaded_chunk_verification_seconds: 2.8173097391818183, runtime_all_row_decodings_seconds: 0.676256539, runtime_per_row_decoding_seconds: 1.0318855880737305e-5, runtime_prepare_decoding_seconds: 0.002286761, num_column_commitments: 11, num_row_encodings: 65536, num_chunk_verifications: 32, num_downloaded_chunk_verifications: 11, num_row_decodings: 65536, size_file_uncoded_bytes: 23068672, size_column_commitments_bytes: 1144, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 37.25070886, scenario_disperse_runtime_node_seconds: 2.92277184334375, scenario_disperse_communication_bytes: 67145472, scenario_disperse_storage_bytes: 67145472, scenario_retrieve_runtime_client_seconds: 31.668950431000003, scenario_sampling_num_openings: 11, scenario_sampling_runtime_prover_seconds: 2.833258853272727, scenario_sampling_runtime_verifier_seconds: 0.013965239, scenario_sampling_runtime_proof_size_bytes: 1296 }
32 11 65536 1 bls12-381  22888448  6.663882 0.073486  33.476668 3.043333 3.774041 0.000058 93.528699 2.922772  30.990407 2.817310 0.676257 0.000010 0.002287  11 65536 32 11 65536  23068672 1144 67108864  37.250709 2.922772 67145472 67145472  31.668950  11 2.833259 0.013965 1296
# Args { n: 64, k: 21, L: 32768, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 21848064, runtime_setup_seconds: 3.716051535, runtime_file_generation_seconds: 0.065946338, runtime_all_column_commitments_seconds: 33.018347616, runtime_per_column_commitment_seconds: 1.5723022674285714, runtime_all_row_encodings_seconds: 3.44788656, runtime_per_row_encoding_seconds: 0.0001052211474609375, runtime_all_chunk_verifications_seconds: 100.223288472, runtime_per_chunk_verification_seconds: 1.565988882375, runtime_all_downloaded_chunk_verifications_seconds: 32.382922192, runtime_per_downloaded_chunk_verification_seconds: 1.542043913904762, runtime_all_row_decodings_seconds: 1.138646555, runtime_per_row_decoding_seconds: 3.474873519897461e-5, runtime_prepare_decoding_seconds: 0.00808762, num_column_commitments: 21, num_row_encodings: 32768, num_chunk_verifications: 64, num_downloaded_chunk_verifications: 21, num_row_decodings: 32768, size_file_uncoded_bytes: 22020096, size_column_commitments_bytes: 2184, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 36.466234176, scenario_disperse_runtime_node_seconds: 1.565988882375, scenario_disperse_communication_bytes: 67248640, scenario_disperse_storage_bytes: 67248640, scenario_retrieve_runtime_client_seconds: 33.529656367, scenario_sampling_num_openings: 21, scenario_sampling_runtime_prover_seconds: 1.5852136010952382, scenario_sampling_runtime_verifier_seconds: 0.011902876571428569, scenario_sampling_runtime_proof_size_bytes: 2336 }
64 21 32768 1 bls12-381  21848064  3.716052 0.065946  33.018348 1.572302 3.447887 0.000105 100.223288 1.565989  32.382922 1.542044 1.138647 0.000035 0.008088  21 32768 64 21 32768  22020096 2184 67108864  36.466234 1.565989 67248640 67248640  33.529656  21 1.585214 0.011903 2336
# Args { n: 128, k: 43, L: 16384, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 22368256, runtime_setup_seconds: 1.849148037, runtime_file_generation_seconds: 0.066324016, runtime_all_column_commitments_seconds: 35.806890432, runtime_per_column_commitment_seconds: 0.832718382139535, runtime_all_row_encodings_seconds: 2.605454966, runtime_per_row_encoding_seconds: 0.00015902435095214843, runtime_all_chunk_verifications_seconds: 109.415713938, runtime_per_chunk_verification_seconds: 0.854810265140625, runtime_all_downloaded_chunk_verifications_seconds: 36.673534001, runtime_per_downloaded_chunk_verification_seconds: 0.852872883744186, runtime_all_row_decodings_seconds: 2.412829297, runtime_per_row_decoding_seconds: 0.00014726741314697266, runtime_prepare_decoding_seconds: 0.040205777, num_column_commitments: 43, num_row_encodings: 16384, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 43, num_row_decodings: 16384, size_file_uncoded_bytes: 22544384, size_column_commitments_bytes: 4472, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 38.412345398, scenario_disperse_runtime_node_seconds: 0.854810265140625, scenario_disperse_communication_bytes: 67681280, scenario_disperse_storage_bytes: 67681280, scenario_retrieve_runtime_client_seconds: 39.126569075, scenario_sampling_num_openings: 43, scenario_sampling_runtime_prover_seconds: 0.843766589906977, scenario_sampling_runtime_verifier_seconds: 0.012870412302325582, scenario_sampling_runtime_proof_size_bytes: 4624 }
128 43 16384 1 bls12-381  22368256  1.849148 0.066324  35.806890 0.832718 2.605455 0.000159 109.415714 0.854810  36.673534 0.852873 2.412829 0.000147 0.040206  43 16384 128 43 16384  22544384 4472 67108864  38.412345 0.854810 67681280 67681280  39.126569  43 0.843767 0.012870 4624
# Args { n: 256, k: 85, L: 8192, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 22108160, runtime_setup_seconds: 1.0715776240000001, runtime_file_generation_seconds: 0.064302809, runtime_all_column_commitments_seconds: 39.453798461, runtime_per_column_commitment_seconds: 0.4641623348352941, runtime_all_row_encodings_seconds: 2.085506798, runtime_per_row_encoding_seconds: 0.00025457846655273437, runtime_all_chunk_verifications_seconds: 126.348821097, runtime_per_chunk_verification_seconds: 0.49355008241015624, runtime_all_downloaded_chunk_verifications_seconds: 41.969528864, runtime_per_downloaded_chunk_verification_seconds: 0.4937591631058823, runtime_all_row_decodings_seconds: 4.652823672, runtime_per_row_decoding_seconds: 0.0005679716396484375, runtime_prepare_decoding_seconds: 0.200047031, num_column_commitments: 85, num_row_encodings: 8192, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 85, num_row_decodings: 8192, size_file_uncoded_bytes: 22282240, size_column_commitments_bytes: 8840, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 41.539305258999995, scenario_disperse_runtime_node_seconds: 0.49355008241015624, scenario_disperse_communication_bytes: 69371904, scenario_disperse_storage_bytes: 69371904, scenario_retrieve_runtime_client_seconds: 46.82239956699999, scenario_sampling_num_openings: 85, scenario_sampling_runtime_prover_seconds: 0.45909049970588217, scenario_sampling_runtime_verifier_seconds: 0.01434422148235294, scenario_sampling_runtime_proof_size_bytes: 8992 }
256 85 8192 1 bls12-381  22108160  1.071578 0.064303  39.453798 0.464162 2.085507 0.000255 126.348821 0.493550  41.969529 0.493759 4.652824 0.000568 0.200047  85 8192 256 85 8192  22282240 8840 67108864  41.539305 0.493550 69371904 69371904  46.822400  85 0.459090 0.014344 8992
